Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,3.0,0.26311130997443777,3.5477459064007957,0.027474325799484795,3.043426030986121,16.668762212658407
15.0,3.0,0.25311130997443754,3.5414481136422955,0.028078921943547108,3.060092697652788,16.676349437594126
15.0,3.0,0.24311130997443753,3.5328578646101914,0.02915888945289439,3.0767593643194546,16.684394373783846
15.0,3.0,0.23311130997443752,3.5233286263605557,0.02985514977832985,3.0934260309861212,16.693023632476525
15.0,3.0,0.2231113099744375,3.515467637306212,0.029563774264612874,3.110092697652788,16.70211141337228
15.0,3.0,0.2131113099744375,3.5082339647889462,0.029550761162967877,3.1267593643194544,16.711740576297416
15.0,3.0,0.20311130997443783,3.4994890578488147,0.0303955847902575,3.143426030986121,16.7219685940143
15.0,3.0,0.19311130997443782,3.48922683463714,0.03138300853508813,3.1600926976527877,16.73287987815587
15.0,3.0,0.18311130997443759,3.479108095784813,0.03177718726572746,3.1767593643194547,16.744487346059543
15.0,3.0,0.17311130997443758,3.469064934284569,0.03210919175425323,3.1934260309861213,16.756900566122567
15.0,3.0,0.16311130997443757,3.4583153599857086,0.032804546190565276,3.210092697652788,16.770111501917597
15.0,3.0,0.15311130997443756,3.448268711455164,0.03308271766312387,3.2267593643194545,16.784224667350486
15.0,3.0,0.14311130997443755,3.440380344265314,0.03270520631875865,3.243426030986121,16.79949411977924
15.0,3.0,0.13311130997443754,3.4341118439920955,0.03244241067651228,3.2600926976527878,16.8157547957843
15.0,3.0,0.12311130997443787,3.4283800871664942,0.03266740683853353,3.2767593643194544,16.83323332477204
15.0,3.0,0.11311130997443786,3.4224357748373135,0.03329679803943038,3.293426030986121,16.852136583633353
15.0,3.0,0.10311130997443763,3.415742084562733,0.03424160991640335,3.310092697652788,16.87271646562988
15.0,3.0,0.09311130997443762,3.4076994454281824,0.03553056473383768,3.3267593643194546,16.895153479792498
15.0,3.0,0.08311130997443761,3.3973723315559567,0.03732228415302089,3.3434260309861212,16.919687178073218
15.0,3.0,0.0731113099744376,3.383116694404988,0.03995213729084668,3.360092697652788,16.94698704020334
15.0,3.0,0.06311130997443759,3.3619364853742137,0.044058164850900784,3.3767593643194544,16.977008639810663
15.0,3.0,0.05311130997443758,3.328307323597235,0.05083504548575579,3.393426030986121,17.011242785477464
15.0,3.0,0.043111309974437795,3.2719567796403326,0.06253041097547962,3.4100926976527877,17.050154156259225
15.0,3.0,0.033111309974437564,3.1736147519581204,0.08341844068079791,3.4267593643194547,17.09656591994326
15.0,3.0,0.023266960049017404,3.00001185818276,0.12107523750184734,3.443166614195155,17.153339111005323
25.0,-3.0,0.0,3.1456643571038967,-0.0485547857012983,0.0,25.0
25.0,-3.0,0.01,3.442379682309969,-0.07368626804480596,0.016666666666666666,25.140754006334873
25.0,-3.0,0.02,3.5135754959969625,-0.056400398861091564,0.03333333333333333,25.259026170294987
25.0,-3.0,0.030000000000000002,3.5493094985054907,-0.04522222849802585,0.05,25.363224663393964
25.0,-3.0,0.04,3.568980862311273,-0.03852269818568106,0.06666666666666667,25.456186621615018
25.0,-3.0,0.049999999999999996,3.5802324476764955,-0.034424997299795645,0.08333333333333333,25.539648570161944
25.0,-3.0,0.06,3.5869165168658625,-0.03179332931964677,0.1,25.614890538500333
25.0,-3.0,0.06999999999999999,3.591109939352238,-0.029994616088999372,0.11666666666666667,25.68289622917382
25.0,-3.0,0.07999999999999999,3.593966422673904,-0.028685056249454423,0.13333333333333333,25.744474785066927
25.0,-3.0,0.08999999999999998,3.5961427263882673,-0.027678922819357833,0.15,25.800304367189483
25.0,-3.0,0.09999999999999998,3.598065108040023,-0.02688392119967912,0.16666666666666666,25.850223676081157
25.0,-3.0,0.10999999999999997,3.6001291006257965,-0.026273139743786533,0.18333333333333332,25.895941607285806
25.0,-3.0,0.11999999999999998,3.602922288067927,-0.025882705036289533,0.2,25.93772513182654
25.0,-3.0,0.12999999999999998,3.607356281053896,-0.02577530912703333,0.21666666666666667,25.975741581324883
25.0,-3.0,0.13999999999999999,3.614078510174239,-0.025829919504945988,0.23333333333333334,26.010327322197497
25.0,-3.0,0.15,3.6220717550671298,-0.025594390079072195,0.25,26.041673302753907
25.0,-3.0,0.15999999999999998,3.6296980542910355,-0.025031057390023054,0.26666666666666666,26.070017165032027
25.0,-3.0,0.16999999999999998,3.6372762292335308,-0.02465258881864285,0.2833333333333333,26.09566373632515
25.0,-3.0,0.18,3.6453889654829252,-0.024387517714125135,0.3,26.118846152327933
25.0,-3.0,0.19,3.6527225060605057,-0.023796051974802612,0.31666666666666665,26.1395413026882
25.0,-3.0,0.2,3.658434848894506,-0.023129575898613787,0.3333333333333333,26.15836972042382
25.0,-3.0,0.21000000000000002,3.6639693963709816,-0.022880590878645503,0.35,26.1753505390177
25.0,-3.0,0.22000000000000003,3.6711976388066807,-0.023005112269809835,0.36666666666666664,26.190604939368882
25.0,-3.0,0.23000000000000007,3.6790076446901576,-0.022749707595670188,0.38333333333333336,26.204259999523515
25.0,-3.0,0.24,3.6848692348374597,-0.022055901769548747,0.4,26.216454284035194
25.0,-3.0,0.25,3.6891380295728924,-0.021568474409932925,0.4166666666666667,26.227301726519272
25.0,-3.0,0.26,3.6929241003990416,-0.02130055875645483,0.43333333333333335,26.23692067833298
25.0,-3.0,0.27,3.696494767634613,-0.021070038252723723,0.45,26.245406566564554
25.0,-3.0,0.28,3.6997360882006087,-0.020830585327463215,0.4666666666666667,26.252810254949452
25.0,-3.0,0.29000000000000004,3.70266135194958,-0.020616116810891,0.48333333333333334,26.259316042146622
25.0,-3.0,0.30000000000000004,3.7054123436425392,-0.020443628506885414,0.5,26.26496398856966
25.0,-3.0,0.31000000000000005,3.7081244473556256,-0.020306206437176545,0.5166666666666667,26.269822032387367
25.0,-3.0,0.31999999999999995,3.710883036079942,-0.020193002106308366,0.5333333333333333,26.273969857464863
25.0,-3.0,0.32999999999999996,3.7137343755138814,-0.020096652472083143,0.55,26.277482349159698
25.0,-3.0,0.3399999999999999,3.716702750974142,-0.020013091219790446,0.5666666666666667,26.28041949233119
25.0,-3.0,0.3499999999999999,3.7198015349709075,-0.019940180068905484,0.5833333333333334,26.282781669384462
